time,pwm_r,pwm_l
2.290499877929687500e+02,8.400213623046875000e+01,6.599786376953125000e+01
2.290599975585937500e+02,8.400198364257812500e+01,6.599801635742187500e+01
2.290699920654296875e+02,8.400183105468750000e+01,6.599816131591796875e+01
2.290800018310546875e+02,8.400169372558593750e+01,6.599830627441406250e+01
2.290899963378906250e+02,8.400154113769531250e+01,6.599845886230468750e+01
2.290999908447265625e+02,8.400139617919921875e+01,6.599860382080078125e+01
2.291100006103515625e+02,8.400124359130859375e+01,6.599874877929687500e+01
2.291199951171875000e+02,8.400109863281250000e+01,6.599890136718750000e+01
2.291299896240234375e+02,8.400094604492187500e+01,6.599904632568359375e+01
2.291399993896484375e+02,8.400080871582031250e+01,6.599919128417968750e+01
2.291499938964843750e+02,8.400065612792968750e+01,6.599934387207031250e+01
2.291599884033203125e+02,8.400051116943359375e+01,6.599948883056640625e+01
